date,tmean_c,tmean_n,tmax_c,tmax_flag,tmin_c,tmin_flag,prcp_mm,prcp_flag
1983-02-01,22.06,5,28.28,,13.61,,0.0,B
1983-02-02,21.67,6,25.0,*,19.0,*,0.0,A
1983-02-03,18.83,10,20.0,*,16.22,,0.0,G
1983-02-04,19.22,11,23.0,*,15.22,,0.0,H
1983-02-05,20.28,7,26.0,*,14.61,,0.0,G
1983-02-06,18.44,6,27.61,*,13.0,*,0.0,G
1983-02-08,17.94,8,24.61,,13.0,,0.0,G
1983-02-24,18.39,6,22.0,*,15.39,,0.0,B
1983-03-09,20.83,5,32.0,,10.61,,0.0,G
1983-03-11,17.39,12,26.0,*,12.22,,44.4,G
1983-03-12,16.39,20,22.0,*,13.39,,0.0,G
1983-03-13,18.39,16,26.39,*,13.39,,0.0,G
1983-03-14,19.89,16,26.0,*,16.0,*,,
1983-03-15,24.22,8,36.0,,14.39,,0.0,I
1983-03-16,22.78,9,28.28,,19.0,,0.0,G
1983-03-18,21.0,5,30.0,*,14.0,*,0.0,A
1983-03-19,23.78,8,35.0,*,10.61,,0.0,G
1983-03-22,20.22,13,27.22,,11.78,,0.0,G
1983-03-23,26.61,9,32.0,*,17.39,,0.0,G
1983-03-24,26.5,9,32.0,*,16.78,,0.0,A
1983-03-25,20.89,14,32.22,,16.39,,0.0,H
1983-03-26,23.83,14,31.0,*,17.0,*,0.0,G
1983-03-27,25.06,14,30.0,*,21.0,*,0.0,G
1983-03-28,21.56,10,30.0,,12.61,,0.0,G
1983-03-30,23.11,13,28.0,*,13.39,,0.0,G
1983-03-31,22.72,10,28.22,,16.78,,0.0,G
1983-04-01,20.33,14,27.78,,15.22,*,0.0,H
1983-04-02,19.5,8,25.0,*,16.0,*,0.0,A
1983-04-03,23.89,10,31.22,,16.0,*,0.0,G
1983-04-04,23.33,11,30.0,*,14.78,,0.0,G
1983-04-05,23.11,18,32.0,*,14.78,,0.0,G
1983-04-06,22.33,16,30.22,,17.22,,0.0,H
1983-04-07,20.78,15,30.22,,18.0,*,0.0,G
1983-04-09,25.28,8,30.0,,19.0,*,0.0,G
1983-04-10,21.0,15,30.0,,19.39,,0.0,G
1983-04-11,18.11,8,19.0,*,17.0,*,4.1,B
1983-04-14,24.67,4,30.22,*,17.0,*,0.0,A
1983-04-15,22.22,18,30.22,,16.22,,0.0,B
1983-04-16,22.28,13,32.0,*,19.0,*,0.0,G
1983-04-17,18.72,12,22.22,,16.0,*,1.0,G
1983-04-18,16.61,14,25.0,*,10.78,,0.0,G
1983-04-19,15.17,10,25.78,,10.78,,0.0,G
1983-04-23,26.06,15,32.0,*,19.78,,0.0,C
1983-04-24,23.17,16,33.22,,18.0,,0.0,G
1983-04-25,20.83,18,26.11,,18.0,,0.0,G
1983-04-26,23.33,14,30.0,*,18.0,,0.0,B
1983-04-27,22.56,14,31.0,*,16.11,,0.0,G
1983-04-28,24.22,15,31.22,,19.61,,0.0,G
1983-04-29,22.11,12,28.0,*,16.11,*,0.0,A
1983-05-02,22.0,16,29.0,*,14.61,,0.0,G
1983-05-03,24.22,15,31.0,*,16.39,,0.0,B
1983-05-04,21.39,7,31.22,,18.0,*,0.0,A
1983-05-05,20.89,8,26.0,*,16.5,*,0.0,B
1983-05-06,20.39,4,28.22,,16.22,,0.0,A
1983-06-04,22.67,9,28.0,,17.0,,8.9,G
1983-06-07,20.78,9,29.78,,17.0,,4.1,G
1983-06-08,23.5,11,30.78,,18.89,*,0.0,G
1983-06-09,21.44,17,36.0,,18.5,,18.0,G
1983-06-10,21.5,15,27.0,*,18.39,,24.1,G
1983-06-11,22.0,14,29.0,*,18.39,,0.0,G
1983-06-12,21.39,18,27.0,,17.0,*,82.5,G
1983-06-13,21.0,15,27.39,,17.5,,2.8,G
1983-06-14,20.78,19,25.0,*,18.0,*,0.0,G
1983-06-15,20.56,18,26.0,*,18.28,,7.1,G
1983-06-16,20.33,16,26.0,,17.0,,7.6,G
1983-06-17,20.89,9,26.0,,17.0,,0.5,G
1983-06-18,20.11,12,26.61,,18.61,,45.5,G
1983-06-19,20.67,18,27.0,*,18.0,,0.3,G
1983-06-20,22.83,21,28.0,*,18.0,,99.1,G
1983-06-21,22.56,17,28.22,,18.39,,364.0,G
1983-06-22,22.0,14,27.22,,17.22,,12.7,G
1983-06-23,23.78,4,27.0,*,21.0,*,0.0,G
1983-06-24,21.78,18,28.61,,18.0,,372.1,G
1983-06-25,22.83,14,27.22,,18.0,,0.0,G
1983-06-26,21.28,19,28.0,*,18.0,*,0.5,G
1983-06-27,21.56,14,28.0,,18.0,*,6.1,G
1983-06-28,22.33,15,27.39,,18.0,,0.3,G
1983-06-29,19.33,14,27.22,,17.0,,3.8,G
1983-06-30,19.44,14,26.61,,17.0,,74.7,G
1983-07-01,20.89,20,26.0,*,10.0,*,0.0,G
1983-07-02,20.94,23,27.0,,15.78,,0.0,G
1983-07-03,22.11,17,26.0,*,15.78,,0.0,G
1983-07-04,20.0,13,25.78,,16.39,,7.1,G
1983-07-05,21.17,12,25.0,*,17.0,*,0.0,G
1983-07-06,19.83,12,25.61,,16.78,,1.8,G
1983-07-07,21.61,4,23.0,*,20.0,*,0.0,G
1983-07-08,19.0,10,23.61,,18.0,,11.9,G
1983-07-09,20.78,23,25.0,*,18.0,,8.9,G
1983-07-10,21.72,20,26.0,*,18.39,,0.5,G
1983-07-11,21.22,18,27.0,*,17.0,*,25.4,G
1983-07-12,21.22,13,27.22,,17.0,,28.2,G
1983-07-13,22.06,22,27.0,*,17.0,,0.0,G
1983-07-14,21.22,19,27.0,,17.78,,22.4,G
1983-07-15,20.0,18,26.0,,17.22,,24.9,D
1983-07-16,21.28,18,26.0,*,17.61,,48.0,G
1983-07-17,20.0,19,24.39,*,18.0,*,0.0,G
1983-07-18,20.33,19,25.0,,18.0,,35.6,G
1983-07-19,20.0,19,25.0,*,17.61,,2.0,G
1983-07-20,20.06,19,24.0,*,17.61,,2.0,G
1983-07-21,20.28,16,27.0,*,17.61,*,0.0,G
1983-07-22,19.5,13,24.78,,17.61,,2.0,G
1983-07-23,20.89,17,24.39,*,17.78,,23.9,G
1983-07-24,21.61,18,24.61,,19.0,,0.5,G
